checkpoint_N,k,a,b,branch,pure_even,pure_odd,empty
1000000,1,0,0,1,0,0,0
1000000,2,1,0,4,0,0,0
1000000,3,0,1,9,0,0,0
1000000,4,2,0,16,0,0,0
1000000,6,1,1,36,0,0,0
1000000,8,3,0,64,0,0,0
1000000,9,0,2,81,0,0,0
1000000,12,2,1,144,0,0,0
1000000,16,4,0,256,0,0,0
1000000,18,1,2,324,0,0,0
1000000,24,3,1,576,0,0,0
1000000,27,0,3,729,0,0,0
1000000,36,2,2,1296,0,0,0
1000000,48,4,1,2304,0,0,0
1000000,54,1,3,2906,10,0,0
1000000,72,3,2,3928,447,53,756
1000000,81,0,4,4057,675,55,1774
1000000,108,2,3,4056,745,56,6807
1000000,144,4,2,4056,745,56,15879
1000000,162,1,4,4056,745,56,21387
1000000,216,3,3,4056,745,56,41799
1000000,324,2,4,4056,745,56,100119
1000000,432,4,3,4056,745,56,181767
1000000,648,3,4,4056,745,56,415047
1000000,729,0,6,4056,745,56,526584
1000000,1296,4,4,4056,745,56,1674759
1000000,19683,0,9,4056,745,56,387415632
