k,a,b,total_visits,branch_cells,pure_even,pure_odd,empty,branch_fraction,mean_p_odd,std_p_odd,mean_H_branch,mean_slope_dev,std_slope_dev,singular_cells,total_ee,total_eo,total_oe,total_oo
1,0,0,25125922364266,1,0,0,0,1.000000000,0.332473361,0.000000002,0.917433460,0.132862198,0.000000000,0,0,0,0,0
2,1,0,25125922364266,4,0,0,0,1.000000000,0.332468068,0.001898152,0.917416427,0.132861963,0.004259924,0,0,0,0,0
3,0,1,25125922364266,9,0,0,0,1.000000000,0.332461143,0.002885754,0.917394106,0.132861619,0.006477000,0,0,0,0,0
4,2,0,25125922364266,16,0,0,0,1.000000000,0.332451394,0.003972030,0.917360091,0.132858429,0.008919122,1,0,0,0,0
6,1,1,25125922364266,36,0,0,0,1.000000000,0.332422284,0.006175952,0.917257979,0.132848755,0.013847409,1,0,0,0,0
8,3,0,25125922364266,64,0,0,0,1.000000000,0.332372044,0.008231346,0.917110670,0.132862606,0.018422827,2,0,0,0,0
9,0,2,25125922364266,81,0,0,0,1.000000000,0.332339702,0.009288621,0.917017513,0.132873125,0.020799090,2,0,0,0,0
12,2,1,25125922364266,144,0,0,0,1.000000000,0.332260400,0.012329878,0.916719887,0.133249265,0.025333446,3,0,0,0,0
16,4,0,25125922364266,256,0,0,0,1.000000000,0.332124260,0.016308781,0.916202521,0.133764785,0.032159889,6,0,0,0,0
18,1,2,25125922364266,324,0,0,0,1.000000000,0.332056724,0.016144413,0.916152389,0.134048350,0.031515633,6,0,0,0,0
24,3,1,25125922364266,576,0,0,0,1.000000000,0.331638792,0.020168527,0.915249624,0.134603583,0.041368785,6,0,0,0,0
27,0,3,25125922364266,729,0,0,0,1.000000000,0.331407014,0.024266114,0.914404652,0.134330598,0.051120585,8,0,0,0,0
36,2,2,25125922364266,1296,0,0,0,1.000000000,0.330132092,0.027852462,0.912517997,0.137013969,0.059740105,6,0,0,0,0
48,4,1,25125922364266,2304,0,0,0,1.000000000,0.327450461,0.036765065,0.907834641,0.144946237,0.073005551,15,0,0,0,0
54,1,3,25125922364266,2916,0,0,0,1.000000000,0.325843537,0.041274840,0.904972954,0.150420826,0.078404705,32,0,0,0,0
72,3,2,25125922364266,5184,0,0,0,1.000000000,0.317976434,0.056837832,0.890081551,0.174713176,0.090521985,75,0,0,0,0
81,0,4,25125922364266,6561,0,0,0,1.000000000,0.312641459,0.061770021,0.881562508,0.187846626,0.095206902,122,8368522646500,8303699858884,8353699858883,0
108,2,3,25125922364266,11664,0,0,0,1.000000000,0.295299585,0.074327983,0.852739712,0.223382465,0.106450603,484,8368522646500,8303699858884,8353699858883,0
144,4,2,25125922364266,19530,497,10,699,0.941840278,0.281465636,0.082528586,0.829097156,0.251804043,0.121594729,784,8368522646500,8303699858884,8353699858883,0
162,1,4,25125922364266,21100,1286,51,3807,0.803993294,0.283607408,0.079403068,0.836544090,0.252509037,0.133055019,545,0,0,0,0
216,3,3,25125922364266,21632,1582,54,23388,0.463648834,0.284338440,0.079878323,0.838039095,0.254906403,0.165286279,142,0,0,0,0
324,2,4,25125922364266,21632,1582,54,81708,0.206066148,0.284338440,0.079878323,0.838039095,0.254906403,0.165286279,142,0,0,0,0
432,4,3,25125922364266,21632,1582,54,163356,0.115912209,0.284338440,0.079878323,0.838039095,0.254906403,0.165286279,142,0,0,0,0
648,3,4,25125922364266,21632,1582,54,396636,0.051516537,0.284338440,0.079878323,0.838039095,0.254906403,0.165286279,142,0,0,0,0
729,0,6,25125922364266,21632,1582,54,508173,0.040704424,0.284338440,0.079878323,0.838039095,0.254906403,0.165286279,142,8368522646500,8303699858884,8353699858883,0
1296,4,4,25125922364266,21632,1582,54,1656348,0.012879134,0.284338440,0.079878323,0.838039095,0.254906403,0.165286279,142,0,0,0,0
19683,0,9,25125922364266,21632,1582,54,387397221,0.000055836,0.284338440,0.079878323,0.838039095,0.254906403,0.165286279,142,0,0,0,0
