j,k,n_atoms,min_width,max_width,mean_width,min_mean_ratio,entropy,max_entropy,deficit,efficiency,H_over_j,H_over_k,min_gap_int,baker_ratio
1,1,4,1.666666666666667e-01,3.333333333333333e-01,2.500000000000000e-01,0.66666667,1.3296613489,1.3862943611,0.0566330123,0.95914792,1.3296613489,1.3296613489,1,1.00
1,3,28,1.851851851851852e-02,3.703703703703703e-02,3.571428571428571e-02,0.51851852,3.3215089838,3.3322045102,0.0106955264,0.99679026,3.3215089838,1.1071696613,1,1.00
1,2,10,5.555555555555555e-02,1.111111111111111e-01,1.000000000000000e-01,0.55555556,2.2742409307,2.3025850930,0.0283441623,0.98769029,2.2742409307,1.1371204654,1,1.00
2,1,6,8.333333333333333e-02,2.500000000000000e-01,1.666666666666667e-01,0.50000000,1.7045514453,1.7917594692,0.0872080240,0.95132828,0.8522757226,1.7045514453,1,1.00
2,3,30,9.259259259259259e-03,3.703703703703703e-02,3.333333333333333e-02,0.27777778,3.3631634390,3.4011973817,0.0380339427,0.98881748,1.6815817195,1.1210544797,1,1.00
2,2,12,2.777777777777778e-02,1.111111111111111e-01,8.333333333333333e-02,0.33333333,2.3992042962,2.4849066498,0.0857023536,0.96551084,1.1996021481,1.1996021481,1,1.00
3,1,10,4.166666666666666e-02,1.250000000000000e-01,1.000000000000000e-01,0.41666667,2.2385700838,2.3025850930,0.0640150092,0.97219863,0.7461900279,2.2385700838,1,1.00
3,2,16,1.388888888888889e-02,1.111111111111111e-01,6.250000000000000e-02,0.22222222,2.6299450516,2.7725887222,0.1426436706,0.94855217,0.8766483505,1.3149725258,1,1.00
3,4,88,1.543209876543210e-03,1.234567901234568e-02,1.136363636363636e-02,0.13580247,4.4425292074,4.4773368145,0.0348076071,0.99222582,1.4808430691,1.1106323018,1,1.00
4,1,18,2.083333333333333e-02,6.250000000000000e-02,5.555555555555555e-02,0.37500000,2.8521529933,2.8903717579,0.0382187646,0.98677721,0.7130382483,2.8521529933,1,1.00
4,3,42,2.314814814814815e-03,3.703703703703703e-02,2.380952380952381e-02,0.09722222,3.5899118245,3.7376696183,0.1477577938,0.96046794,0.8974779561,1.1966372748,1,1.00
4,5,258,2.572016460905350e-04,4.115226337448560e-03,3.875968992248062e-03,0.06635802,5.5257364387,5.5529595849,0.0272231462,0.99509754,1.3814341097,1.1051472877,1,1.00
4,6,744,8.573388203017832e-05,1.371742112482853e-03,1.344086021505376e-03,0.06378601,6.6025653971,6.6120410348,0.0094756377,0.99856691,1.6506413493,1.1004275662,1,1.00
5,1,34,1.041666666666667e-02,3.125000000000000e-02,2.941176470588235e-02,0.35416667,3.5055180383,3.5263605246,0.0208424863,0.99408952,0.7011036077,3.5055180383,1,1.00
5,3,58,1.157407407407407e-03,3.125000000000000e-02,1.724137931034483e-02,0.06712963,3.8863993068,4.0604430105,0.1740437037,0.95713677,0.7772798614,1.2954664356,1,1.00
5,5,274,1.286008230452675e-04,4.115226337448560e-03,3.649635036496350e-03,0.03523663,5.5587668016,5.6131281064,0.0543613048,0.99031533,1.1117533603,1.1117533603,1,1.00
5,6,760,4.286694101508916e-05,1.371742112482853e-03,1.315789473684210e-03,0.03257888,6.6135755181,6.6333184333,0.0197429152,0.99702367,1.3227151036,1.1022625863,1,1.00
6,1,66,5.208333333333333e-03,1.562500000000000e-02,1.515151515151515e-02,0.34375000,4.1787741511,4.1896547420,0.0108805909,0.99740299,0.6964623585,4.1787741511,1,1.00
6,2,72,1.736111111111111e-03,1.562500000000000e-02,1.388888888888889e-02,0.12500000,4.2276960221,4.2766661190,0.0489700969,0.98854947,0.7046160037,2.1138480111,1,1.00
6,4,144,1.929012345679012e-04,1.234567901234568e-02,6.944444444444444e-03,0.02777778,4.7892812039,4.9698132996,0.1805320957,0.96367427,0.7982135340,1.1973203010,1,1.00
6,6,792,2.143347050754458e-05,1.371742112482853e-03,1.262626262626263e-03,0.01697531,6.6355439597,6.6745613918,0.0390174321,0.99415431,1.1059239933,1.1059239933,1,1.00
6,8,6624,2.381496723060509e-06,1.524157902758726e-04,1.509661835748792e-04,0.01577503,8.7937727791,8.7984546961,0.0046819170,0.99946787,1.4656287965,1.0992215974,1,1.00
7,1,130,2.604166666666667e-03,7.812500000000000e-03,7.692307692307693e-03,0.33854167,4.8619757978,4.8675344505,0.0055586527,0.99885801,0.6945679711,4.8619757978,1,1.00
7,2,136,8.680555555555555e-04,7.812500000000000e-03,7.352941176470588e-03,0.11805556,4.8864367333,4.9126548857,0.0262181524,0.99466314,0.6980623905,2.4432183666,1,1.00
7,4,208,9.645061728395061e-05,7.812500000000000e-03,4.807692307692308e-03,0.02006173,5.1683178876,5.3375380797,0.1692201921,0.96829621,0.7383311268,1.2920794719,1,1.00
7,6,856,1.071673525377229e-05,1.371742112482853e-03,1.168224299065420e-03,0.00917353,6.6794512292,6.7522703761,0.0728191469,0.98921561,0.9542073185,1.1132418715,1,1.00
7,8,6688,1.190748361530255e-06,1.524157902758726e-04,1.495215311004785e-04,0.00796373,8.7986513646,8.8080701548,0.0094187902,0.99893066,1.2569501949,1.0998314206,1,1.00
8,1,258,1.302083333333333e-03,3.906250000000000e-03,3.875968992248062e-03,0.33593750,5.5501502114,5.5529595849,0.0028093735,0.99949408,0.6937687764,5.5501502114,1,1.00
8,2,264,4.340277777777778e-04,3.906250000000000e-03,3.787878787878788e-03,0.11458333,5.5623806792,5.5759491031,0.0135684240,0.99756662,0.6952975849,2.7811903396,1,1.00
8,5,498,1.607510288065844e-05,3.906250000000000e-03,2.008032128514056e-03,0.00800540,6.0197641050,6.2106000770,0.1908359720,0.96927254,0.7524705131,1.2039528210,1,1.00
8,7,2442,1.786122542295382e-06,4.572473708276177e-04,4.095004095004095e-04,0.00436171,7.7488111448,7.8005726547,0.0517615099,0.99336440,0.9686013931,1.1069730207,1,1.00
8,10,59304,6.615268675168080e-08,1.693508780843029e-05,1.686226898691488e-05,0.00392312,10.9882904839,10.9904320363,0.0021415525,0.99980514,1.3735363105,1.0988290484,1,1.00
9,1,514,6.510416666666666e-04,1.953125000000000e-03,1.945525291828794e-03,0.33463542,6.2408110085,6.2422232655,0.0014122569,0.99977376,0.6934234454,6.2408110085,1,1.00
9,3,538,7.233796296296296e-05,1.953125000000000e-03,1.858736059479554e-03,0.03891782,6.2646160878,6.2878585602,0.0232424724,0.99630359,0.6960684542,2.0882053626,1,1.00
9,6,1240,2.679183813443073e-06,1.371742112482853e-03,8.064516129032258e-04,0.00332219,6.9428355943,7.1228666586,0.1800310643,0.97472491,0.7714261771,1.1571392657,1,1.00
9,8,7072,2.976870903825636e-07,1.524157902758726e-04,1.414027149321267e-04,0.00210524,8.8279162940,8.8638986043,0.0359823103,0.99594058,0.9808795882,1.1034895368,1,1.00
9,12,531952,3.675149263982267e-09,1.881676423158921e-06,1.879868860348302e-06,0.00195500,13.1838291676,13.1843085387,0.0004793711,0.99996364,1.4648699075,1.0986524306,1,1.00
10,1,1026,3.255208333333333e-04,9.765625000000000e-04,9.746588693957114e-04,0.33398438,6.9327149973,6.9334230257,0.0007080284,0.99989788,0.6932714997,6.9327149973,1,1.00
