k,i,j,count
1,0,0,999999999
2,0,0,248206785
2,0,1,251032932
2,1,0,249225104
2,1,1,251535178
3,0,0,112576675
3,0,1,112080359
3,0,2,108990314
3,1,0,111824069
3,1,1,112253124
3,1,2,109405935
3,2,0,111853943
3,2,1,111167855
3,2,2,109847725
4,0,0,60064093
4,0,1,61677730
4,0,2,64107505
4,0,3,62896096
4,1,0,60871841
4,1,1,61729325
4,1,2,63982458
4,1,3,63166138
4,2,0,60426428
4,2,1,62443597
4,2,2,63608759
4,2,3,64015509
4,3,0,60363083
4,3,1,62482812
4,3,2,64007722
4,3,3,64156903
6,0,0,28505699
6,0,1,25386861
6,0,2,25746185
6,0,3,29349226
6,0,4,28629414
6,0,5,29289765
6,1,0,27094663
6,1,1,26335676
6,1,2,26417470
6,1,3,28531255
6,1,4,28389780
6,1,5,30048430
6,2,0,26695806
6,2,1,26801266
6,2,2,26584649
6,2,3,27032288
6,2,4,29269261
6,2,5,29283443
6,3,0,27331994
6,3,1,27035152
6,3,2,26060716
6,3,3,27389756
6,3,4,31028932
6,3,5,27893648
6,4,0,27508636
6,4,1,27284338
6,4,2,25023805
6,4,3,28689515
6,4,4,30243330
6,4,5,27916230
6,5,0,28778342
6,5,1,26165312
6,5,2,25191191
6,5,3,29347507
6,5,4,28932016
6,5,5,28788442
8,0,0,18452677
8,0,1,14813955
8,0,2,19684089
8,0,3,17225753
8,0,4,14611924
8,0,5,19107595
8,0,6,15935883
8,0,7,18139369
8,1,0,14240896
8,1,1,14896829
8,1,2,13633053
8,1,3,14978385
8,1,4,14429817
8,1,5,13555880
8,1,6,15317758
8,1,7,13959514
8,2,0,16588076
8,2,1,13850752
8,2,2,16817488
8,2,3,16323482
8,2,4,12602402
8,2,5,17615804
8,2,6,15109755
8,2,7,15677699
8,3,0,15154713
8,3,1,17656032
8,3,2,16457809
8,3,3,17408982
8,3,4,17638263
8,3,5,15483788
8,3,6,17787775
8,3,7,17187744
8,4,0,14549984
8,4,1,12331337
8,4,2,15670184
8,4,3,13681609
8,4,4,12449508
8,4,5,15424843
8,4,6,12817349
8,4,7,13849365
8,5,0,14510987
8,5,1,18600911
8,5,2,15563842
8,5,3,17702800
8,5,4,17690141
8,5,5,14675705
8,5,6,19467805
8,5,7,16525439
8,6,0,15630251
8,6,1,15161120
8,6,2,16270708
8,6,3,15513711
8,6,4,15605699
8,6,5,15815921
8,6,6,15410808
8,6,7,16500617
8,7,0,11707541
8,7,1,16955457
8,7,2,13638329
8,7,3,14398701
8,7,4,15862566
8,7,5,12387535
8,7,6,16123809
8,7,7,15161476
9,0,0,15407356
9,0,1,13979332
9,0,2,12489891
9,0,3,9459250
9,0,4,9003839
9,0,5,10588900
9,0,6,12545572
9,0,7,13318901
9,0,8,15224536
9,1,0,11052146
9,1,1,12274315
9,1,2,13236088
9,1,3,15151490
9,1,4,14308936
9,1,5,13183940
9,1,6,11178864
9,1,7,8697819
9,1,8,9040353
9,2,0,12335641
9,2,1,9874208
9,2,2,8311008
9,2,3,10379462
9,2,4,11497999
9,2,5,11958761
9,2,6,13386241
9,2,7,14610678
9,2,8,13302829
9,3,0,11684228
9,3,1,13404590
9,3,2,13811823
9,3,3,12478818
9,3,4,11379396
9,3,5,8732921
9,3,6,11222809
9,3,7,12197666
9,3,8,11198777
9,4,0,12153468
9,4,1,13051314
9,4,2,11961443
9,4,3,10869067
9,4,4,11557352
9,4,5,13283159
9,4,6,12865800
9,4,7,11786099
9,4,8,11096102
9,5,0,12938344
9,5,1,11940666
9,5,2,11787776
9,5,3,14204556
9,5,4,13707756
9,5,5,13923799
9,5,6,11169516
9,5,7,10504772
9,5,8,11574462
9,6,0,12845587
9,6,1,10417650
9,6,2,10214374
9,6,3,11627613
9,6,4,12365696
9,6,5,11943200
9,6,6,15305442
9,6,7,16013289
9,6,8,14785892
9,7,0,14630895
9,7,1,16766220
9,7,2,15381729
9,7,3,13884987
9,7,4,12140938
9,7,5,9683203
9,7,6,10037352
9,7,7,11670131
9,7,8,12539918
9,8,0,9250359
9,8,1,10055945
9,8,2,12223039
9,8,3,13358412
9,8,4,15291146
9,8,5,16098587
9,8,6,14831412
9,8,7,13684685
9,8,8,10667464
12,0,0,10498390
12,0,1,3906732
12,0,2,7094051
12,0,3,9301276
12,0,4,4076554
12,0,5,7019535
12,0,6,7434533
12,0,7,5033548
12,0,8,6802000
12,0,9,9204976
12,0,10,6986344
12,0,11,7077708
12,1,0,4930018
12,1,1,7001989
12,1,2,9681709
12,1,3,4821218
12,1,4,7724074
12,1,5,10951592
12,1,6,4549550
12,1,7,8305793
12,1,8,4322780
12,1,9,4532768
12,1,10,8074166
12,1,11,6912298
12,2,0,9422036
12,2,1,3316869
12,2,2,5189029
12,2,3,9163414
12,2,4,5792287
12,2,5,5442480
12,2,6,7655554
12,2,7,9863479
12,2,8,5548380
12,2,9,8371159
12,2,10,9325921
12,2,11,5260696
12,3,0,8389793
12,3,1,6255351
12,3,2,9224470
12,3,3,6535634
12,3,4,6111430
12,3,5,10115740
12,3,6,3582862
12,3,7,6063229
12,3,8,7568265
12,3,9,4750306
12,3,10,6053609
12,3,11,8212243
12,4,0,7020999
12,4,1,6518827
12,4,2,4445031
12,4,3,6904889
12,4,4,8670638
12,4,5,6586786
12,4,6,6833871
12,4,7,10177658
12,4,8,3954807
12,4,9,7179415
12,4,10,10737871
12,4,11,3963576
