residue,class_odd,class_dead,exact_dead,exact_steps,alpha,mod9,mod3
1,8,1,0,0,0.10011292,1,1
3,8,1,1,6,0.10011292,3,0
5,7,1,1,3,0.03337097,5,2
7,8,1,1,11,0.10011292,7,1
9,8,1,1,3,0.10011292,0,0
11,7,1,1,8,0.03337097,2,2
13,7,1,1,3,0.03337097,4,1
15,7,1,1,11,0.03337097,6,0
17,7,1,1,3,0.03337097,8,2
19,7,1,1,6,0.03337097,1,1
21,6,1,1,3,0.01112366,3,0
23,7,1,1,8,0.03337097,5,2
25,7,1,1,3,0.03337097,7,1
27,12,0,1,96,8.10914612,0,0
29,7,1,1,3,0.03337097,2,2
31,12,0,1,91,8.10914612,4,1
33,8,1,1,3,0.10011292,6,0
35,6,1,1,6,0.01112366,8,2
37,7,1,1,3,0.03337097,1,1
39,9,1,1,13,0.30033875,3,0
41,12,0,1,3,8.10914612,5,2
43,8,1,1,8,0.10011292,7,1
45,6,1,1,3,0.01112366,0,0
47,12,0,1,88,8.10914612,2,2
49,7,1,1,3,0.03337097,4,1
51,7,1,1,6,0.03337097,6,0
53,6,1,1,3,0.01112366,8,2
55,11,0,1,8,2.70304871,1,1
57,9,1,1,3,0.30033875,3,0
59,9,1,1,11,0.30033875,5,2
61,6,1,1,3,0.01112366,7,1
63,11,0,1,88,2.70304871,0,0
65,8,1,1,3,0.10011292,2,2
67,8,1,1,6,0.10011292,4,1
69,6,1,1,3,0.01112366,6,0
71,12,0,1,83,8.10914612,8,2
73,11,0,1,3,2.70304871,1,1
75,6,1,1,8,0.01112366,3,0
77,6,1,1,3,0.01112366,5,2
79,9,1,1,13,0.30033875,7,1
81,6,1,1,3,0.01112366,0,0
83,11,0,1,6,2.70304871,2,2
85,5,1,1,3,0.00370789,4,1
87,8,1,1,8,0.10011292,6,0
89,8,1,1,3,0.10011292,8,2
91,11,0,1,73,2.70304871,1,1
93,6,1,1,3,0.01112366,3,0
95,11,0,1,13,2.70304871,5,2
97,10,1,1,3,0.90101624,7,1
99,7,1,1,6,0.03337097,0,0
101,7,1,1,3,0.03337097,2,2
103,11,0,1,68,2.70304871,4,1
105,8,1,1,3,0.10011292,6,0
107,12,0,1,8,8.10914612,8,2
109,10,1,1,3,0.90101624,1,1
111,12,0,1,50,8.10914612,3,0
113,5,1,1,3,0.00370789,5,2
115,8,1,1,6,0.10011292,7,1
117,6,1,1,3,0.01112366,0,0
119,8,1,1,8,0.10011292,2,2
121,11,0,1,3,2.70304871,4,1
