checkpoint_N,k,a,b,branch,pure_even,pure_odd,empty
1000000,1,0,0,1,0,0,0
1000000,2,1,0,4,0,0,0
1000000,3,0,1,9,0,0,0
1000000,4,2,0,16,0,0,0
1000000,6,1,1,36,0,0,0
1000000,8,3,0,64,0,0,0
1000000,9,0,2,81,0,0,0
1000000,12,2,1,144,0,0,0
1000000,16,4,0,256,0,0,0
1000000,18,1,2,324,0,0,0
1000000,24,3,1,576,0,0,0
1000000,27,0,3,729,0,0,0
1000000,36,2,2,1296,0,0,0
1000000,48,4,1,2304,0,0,0
1000000,54,1,3,2906,10,0,0
1000000,72,3,2,3928,447,53,756
1000000,81,0,4,4057,675,55,1774
1000000,108,2,3,4056,745,56,6807
1000000,144,4,2,4056,745,56,15879
1000000,162,1,4,4056,745,56,21387
1000000,216,3,3,4056,745,56,41799
1000000,324,2,4,4056,745,56,100119
1000000,432,4,3,4056,745,56,181767
1000000,648,3,4,4056,745,56,415047
1000000,729,0,6,4056,745,56,526584
1000000,1296,4,4,4056,745,56,1674759
1000000,19683,0,9,4056,745,56,387415632
1258925,1,0,0,1,0,0,0
1258925,2,1,0,4,0,0,0
1258925,3,0,1,9,0,0,0
1258925,4,2,0,16,0,0,0
1258925,6,1,1,36,0,0,0
1258925,8,3,0,64,0,0,0
1258925,9,0,2,81,0,0,0
1258925,12,2,1,144,0,0,0
1258925,16,4,0,256,0,0,0
1258925,18,1,2,324,0,0,0
1258925,24,3,1,576,0,0,0
1258925,27,0,3,729,0,0,0
1258925,36,2,2,1296,0,0,0
1258925,48,4,1,2304,0,0,0
1258925,54,1,3,2915,1,0,0
1258925,72,3,2,4153,432,53,546
1258925,81,0,4,4315,689,70,1487
1258925,108,2,3,4311,796,74,6483
1258925,144,4,2,4311,796,74,15555
1258925,162,1,4,4311,796,74,21063
1258925,216,3,3,4311,796,74,41475
1258925,324,2,4,4311,796,74,99795
1258925,432,4,3,4311,796,74,181443
1258925,648,3,4,4311,796,74,414723
1258925,729,0,6,4311,796,74,526260
